word,score,examples
هار,44,"بار تار ثار جار حار خار دار زار سار شار"
ودد,44,"بدد جدد حدد خدد ردد سدد شدد صدد ضدد عدد"
بور,43,"ثور جور حور خور دور زور سور شور صور ضور"
جرب,43,"ارب ترب ثرب حرب خرب درب ذرب زرب سرب شرب"
حال,43,"بال جال خال دال زال سال شال صال ضال طال"
حرف,43,"ترف جرف خرف ذرف زرف سرف شرف صرف طرف ظرف"
حرم,43,"برم جرم خرم درم شرم صرم ضرم عرم غرم فرم"
حرى,43,"ارى برى جرى درى ذرى زرى سرى شرى عرى غرى"
حمر,43,"امر تمر ثمر جمر خمر دمر ذمر زمر سمر شمر"
حمم,43,"امم تمم ثمم جمم خمم دمم ذمم رمم زمم سمم"
حوى,43,"اوى ثوى خوى دوى ذوى روى زوى سوى شوى صوى"
ربل,43,"ابل جبل حبل خبل دبل ذبل زبل سبل شبل طبل"
زار,43,"بار تار ثار جار حار خار دار سار شار صار"
شبر,43,"ابر تبر ثبر جبر حبر خبر دبر ذبر زبر سبر"
صار,43,"بار تار ثار جار حار خار دار زار سار شار"
عبب,43,"ابب تبب جبب حبب خبب دبب ذبب ربب زبب سبب"
عمر,43,"امر تمر ثمر جمر حمر خمر دمر ذمر زمر سمر"
قام,43,"تام جام حام دام ذام رام زام سام شام صام"
قبر,43,"ابر تبر ثبر جبر حبر خبر دبر ذبر زبر سبر"
قرب,43,"ارب ترب ثرب جرب حرب خرب درب ذرب زرب سرب"
لمم,43,"امم تمم ثمم جمم حمم خمم دمم ذمم رمم زمم"
مرر,43,"ارر برر جرر حرر خرر درر ذرر زرر سرر شرر"
نبو,43,"ابو حبو خبو ربو صبو طبو عبو غبو قبو كبو"
نزر,43,"ازر جزر حزر خزر شزر عزر غزر فزر هزر وزر"
نسل,43,"بسل رسل عسل غسل فسل كسل مسل وسل نال نبل"
نشر,43,"اشر بشر حشر عشر قشر كشر وشر نار نبر نتر"
نعر,43,"بعر دعر ذعر زعر سعر شعر قعر وعر نار نبر"
هرر,43,"ارر برر جرر حرر خرر درر ذرر زرر سرر شرر"
ابر,42,"تبر ثبر جبر حبر خبر دبر ذبر زبر سبر شبر"
ارر,42,"برر جرر حرر خرر درر ذرر زرر سرر شرر صرر"
بلل,42,"تلل جلل حلل خلل دلل ذلل زلل سلل شلل صلل"
جلل,42,"بلل تلل حلل خلل دلل ذلل زلل سلل شلل صلل"
جور,42,"بور ثور حور خور دور زور سور شور صور ضور"
حاد,42,"باد جاد داد ذاد راد زاد ساد شاد صاد ضاد"
حرد,42,"برد ثرد جرد خرد زرد سرد شرد صرد طرد غرد"
حوم,42,"جوم دوم روم زوم سوم شوم صوم طوم عوم قوم"
خار,42,"بار تار ثار جار حار دار زار سار شار صار"
روق,42,"بوق توق جوق حوق ذوق زوق سوق شوق طوق عوق"
رون,42,"اون بون خون دون صون عون كون لون مون نون"
زور,42,"بور ثور جور حور خور دور سور شور صور ضور"
سوى,42,"اوى ثوى حوى خوى دوى ذوى روى زوى شوى صوى"
سوي,42,"اوي توي ثوي جوي حوي خوي دوي ذوي روي زوي"
شاف,42,"جاف حاف خاف داف ذاف راف زاف صاف ضاف طاف"
شبب,42,"ابب تبب جبب حبب خبب دبب ذبب ربب زبب سبب"
شول,42,"اول بول جول حول خول دول رول زول سول صول"
شوي,42,"اوي توي ثوي جوي حوي خوي دوي ذوي روي زوي"
عاب,42,"تاب ثاب جاب حاب خاب داب ذاب راب شاب صاب"
عاد,42,"باد جاد حاد داد ذاد راد زاد ساد شاد صاد"
عاف,42,"جاف حاف خاف داف ذاف راف زاف شاف صاف ضاف"
عام,42,"تام جام حام دام ذام رام زام سام شام صام"
عمم,42,"امم تمم ثمم جمم حمم خمم دمم ذمم رمم زمم"
غرر,42,"ارر برر جرر حرر خرر درر ذرر زرر سرر شرر"
فار,42,"بار تار ثار جار حار خار دار زار سار شار"
قرا,42,"برا ثرا جرا حرا درا ذرا سرا طرا عرا غرا"
قرف,42,"ترف جرف حرف خرف ذرف زرف سرف شرف صرف طرف"
لان,42,"بان جان حان خان دان ران زان شان صان ضان"
مار,42,"بار تار ثار جار حار خار دار زار سار شار"
نقب,42,"ثقب حقب رقب عقب لقب وقب ناب نبب نجب نحب"
نقف,42,"ثقف زقف سقف عقف فقف لقف وقف ناف نتف نجف"
نكل,42,"اكل ثكل ركل شكل وكل نال نبل نثل نجل نحل"
نوب,42,"اوب بوب توب ثوب جوب ذوب روب شوب صوب ناب"
هام,42,"تام جام حام دام ذام رام زام سام شام صام"
ورف,42,"ترف جرف حرف خرف ذرف زرف سرف شرف صرف طرف"
اول,41,"بول جول حول خول دول رول زول سول شول صول"
بال,41,"جال حال خال دال زال سال شال صال ضال طال"
جاد,41,"باد حاد داد ذاد راد زاد ساد شاد صاد ضاد"
جال,41,"بال حال خال دال زال سال شال صال ضال طال"
جرد,41,"برد ثرد حرد خرد زرد سرد شرد صرد طرد غرد"
حاب,41,"تاب ثاب جاب خاب داب ذاب راب شاب صاب طاب"
حاف,41,"جاف خاف داف ذاف راف زاف شاف صاف ضاف طاف"
حبب,41,"ابب تبب جبب خبب دبب ذبب ربب زبب سبب شبب"
حفر,41,"جفر خفر زفر سفر شفر صفر ضفر طفر ظفر عفر"
حلل,41,"بلل تلل جلل خلل دلل ذلل زلل سلل شلل صلل"
حول,41,"اول بول جول خول دول رول زول سول شول صول"
خبر,41,"ابر تبر ثبر جبر حبر دبر ذبر زبر سبر شبر"
دبر,41,"ابر تبر ثبر جبر حبر خبر ذبر زبر سبر شبر"
سول,41,"اول بول جول حول خول دول رول زول شول صول"
صور,41,"بور ثور جور حور خور دور زور سور شور ضور"
عرف,41,"ترف جرف حرف خرف ذرف زرف سرف شرف صرف طرف"
عرق,41,"ارق برق حرق خرق درق ذرق زرق سرق شرق طرق"
عرى,41,"ارى برى جرى حرى درى ذرى زرى سرى شرى غرى"
عوف,41,"اوف جوف حوف خوف دوف روف زوف سوف شوف صوف"
عيل,41,"حيل خيل ذيل زيل سيل شيل غيل فيل قيل كيل"
غري,41,"بري ثري جري حري دري ذري زري سري شري صري"
فرح,41,"برح ترح جرح ذرح سرح شرح صرح ضرح طرح قرح"
قال,41,"بال جال حال خال دال زال سال شال صال ضال"
قرى,41,"ارى برى جرى حرى درى ذرى زرى سرى شرى عرى"
قلل,41,"بلل تلل جلل حلل خلل دلل ذلل زلل سلل شلل"
قمم,41,"امم تمم ثمم جمم حمم خمم دمم ذمم رمم زمم"
قوي,41,"اوي توي ثوي جوي حوي خوي دوي ذوي روي زوي"
كرر,41,"ارر برر جرر حرر خرر درر ذرر زرر سرر شرر"
لوى,41,"اوى ثوى حوى خوى دوى ذوى روى زوى سوى شوى"
نبح,41,"دبح ذبح ربح سبح شبح صبح ضبح قبح كبح ناح"
نحر,41,"بحر دحر زحر سحر صحر وحر نار نبر نتر نثر"
نخر,41,"اخر بخر دخر ذخر زخر سخر شخر صخر فخر مخر"
نوس,41,"اوس بوس جوس دوس روس سوس شوس طوس قوس موس"
نوق,41,"بوق توق جوق حوق ذوق روق زوق سوق شوق طوق"
هال,41,"بال جال حال خال دال زال سال شال صال ضال"
واد,41,"باد جاد حاد داد ذاد راد زاد ساد شاد صاد"
وبر,41,"ابر تبر ثبر جبر حبر خبر دبر ذبر زبر سبر"
ابل,40,"جبل حبل خبل دبل ذبل ربل زبل سبل شبل طبل"
حرو,40,"ثرو جرو ذرو سرو طرو عرو غرو قرو كرو مرو"
حني,40,"اني بني ثني جني خني دني زني سني ضني عني"
حوف,40,"اوف جوف خوف دوف روف زوف سوف شوف صوف ضوف"
حوق,40,"بوق توق جوق ذوق روق زوق سوق شوق طوق عوق"
خرب,40,"ارب ترب ثرب جرب حرب درب ذرب زرب سرب شرب"
خور,40,"بور ثور جور حور دور زور سور شور صور ضور"
درس,40,"ارس جرس حرس خرس سرس شرس ضرس طرس عرس غرس"
دمر,40,"امر تمر ثمر جمر حمر خمر ذمر زمر سمر شمر"
دمم,40,"امم تمم ثمم جمم حمم خمم ذمم رمم زمم سمم"
دوي,40,"اوي توي ثوي جوي حوي خوي ذوي روي زوي سوي"
راع,40,"باع جاع ذاع ساع شاع صاع ضاع طاع قاع لاع"
رفا,40,"جفا دفا شفا صفا ضفا طفا عفا غفا قفا كفا"
روب,40,"اوب بوب توب ثوب جوب ذوب شوب صوب نوب راب"
رود,40,"اود جود حود دود ذود زود سود طود عود قود"
زرر,40,"ارر برر جرر حرر خرر درر ذرر سرر شرر صرر"
سال,40,"بال جال حال خال دال زال شال صال ضال طال"
سفر,40,"جفر حفر خفر زفر شفر صفر ضفر طفر ظفر عفر"
سمل,40,"امل ثمل جمل حمل خمل دمل رمل زمل شمل عمل"
شاد,40,"باد جاد حاد داد ذاد راد زاد ساد صاد ضاد"
شاع,40,"باع جاع ذاع راع ساع صاع ضاع طاع قاع لاع"
شرع,40,"برع ترع جرع خرع درع ذرع زرع سرع صرع ضرع"
شمر,40,"امر تمر ثمر جمر حمر خمر دمر ذمر زمر سمر"
عرا,40,"برا ثرا جرا حرا درا ذرا سرا طرا غرا قرا"
عفر,40,"جفر حفر خفر زفر سفر شفر صفر ضفر طفر ظفر"
عفف,40,"افف تفف جفف حفف خفف دفف ذفف رفف زفف سفف"
عني,40,"اني بني ثني جني حني خني دني زني سني ضني"
غار,40,"بار تار ثار جار حار خار دار زار سار شار"
فرع,40,"برع ترع جرع خرع درع ذرع زرع سرع شرع صرع"
فرق,40,"ارق برق حرق خرق درق ذرق زرق سرق شرق طرق"
فرم,40,"برم جرم حرم خرم درم شرم صرم ضرم عرم غرم"
فرى,40,"ارى برى جرى حرى درى ذرى زرى سرى شرى عرى"
قرس,40,"ارس جرس حرس خرس درس سرس شرس ضرس طرس عرس"
كرب,40,"ارب ترب ثرب جرب حرب خرب درب ذرب زرب سرب"
لوم,40,"جوم حوم دوم روم زوم سوم شوم صوم طوم عوم"
مول,40,"اول بول جول حول خول دول رول زول سول شول"
ناح,40,"باح جاح داح راح زاح ساح شاح صاح طاح فاح"
نصر,40,"اصر بصر حصر خصر عصر قصر مصر هصر نار نبر"
نطر,40,"اطر بطر خطر سطر شطر عطر غطر فطر قطر مطر"
نعل,40,"جعل زعل سعل شعل صعل فعل نال نبل نثل نجل"
نير,40,"جير حير خير زير سير صير ضير طير عير غير"
هور,40,"بور ثور جور حور خور دور زور سور شور صور"
وار,40,"بار تار ثار جار حار خار دار زار سار شار"
ودي,40,"ادي بدي حدي ردي سدي صدي عدي غدي فدي قدي"
ولى,40,"الى بلى تلى جلى حلى خلى دلى سلى صلى طلى"
امر,39,"تمر ثمر جمر حمر خمر دمر ذمر زمر سمر شمر"
امل,39,"ثمل جمل حمل خمل دمل رمل زمل سمل شمل عمل"
امم,39,"تمم ثمم جمم حمم خمم دمم ذمم رمم زمم سمم"
بري,39,"ثري جري حري دري ذري زري سري شري صري ضري"
بهر,39,"اهر جهر دهر زهر سهر شهر صهر طهر ظهر عهر"
جام,39,"تام حام دام ذام رام زام سام شام صام ضام"
جرف,39,"ترف حرف خرف ذرف زرف سرف شرف صرف طرف ظرف"
جول,39,"اول بول حول خول دول رول زول سول شول صول"
حان,39,"بان جان خان دان ران زان شان صان ضان طان"
حدي,39,"ادي بدي ردي سدي صدي عدي غدي فدي قدي كدي"
حرس,39,"ارس جرس خرس درس سرس شرس ضرس طرس عرس غرس"
حلي,39,"الي بلي تلي جلي خلي دلي صلي طلي علي غلي"
خمر,39,"امر تمر ثمر جمر حمر دمر ذمر زمر سمر شمر"
دلل,39,"بلل تلل جلل حلل خلل ذلل زلل سلل شلل صلل"
راق,39,"تاق حاق ذاق ساق شاق ضاق طاق عاق فاق قاق"
رجا,39,"حجا دجا زجا سجا شجا فجا لجا نجا هجا ربا"
رجم,39,"اجم حجم دجم سجم عجم لجم نجم هجم وجم رام"
رفو,39,"جفو حفو دفو شفو صفو ضفو طفو عفو غفو قفو"
رنن,39,"انن جنن حنن خنن دنن زنن سنن شنن صنن ضنن"
روع,39,"جوع سوع شوع صوع ضوع طوع قوع كوع لوع نوع"
سبب,39,"ابب تبب جبب حبب خبب دبب ذبب ربب زبب شبب"
سرب,39,"ارب ترب ثرب جرب حرب خرب درب ذرب زرب شرب"
سرى,39,"ارى برى جرى حرى درى ذرى زرى شرى عرى غرى"
سري,39,"بري ثري جري حري دري ذري زري شري صري ضري"
شاق,39,"تاق حاق ذاق راق ساق ضاق طاق عاق فاق قاق"
شان,39,"بان جان حان خان دان ران زان صان ضان طان"
شرق,39,"ارق برق حرق خرق درق ذرق زرق سرق طرق عرق"
شوى,39,"اوى ثوى حوى خوى دوى ذوى روى زوى سوى صوى"
علف,39,"الف تلف جلف حلف خلف دلف ذلف زلف سلف صلف"
عمل,39,"امل ثمل جمل حمل خمل دمل رمل زمل سمل شمل"
عوق,39,"بوق توق جوق حوق ذوق روق زوق سوق شوق طوق"
عوم,39,"جوم حوم دوم روم زوم سوم شوم صوم طوم قوم"
فور,39,"بور ثور جور حور خور دور زور سور شور صور"
قاف,39,"جاف حاف خاف داف ذاف راف زاف شاف صاف ضاف"
قرد,39,"برد ثرد جرد حرد خرد زرد سرد شرد صرد طرد"
كبب,39,"ابب تبب جبب حبب خبب دبب ذبب ربب زبب سبب"
كلل,39,"بلل تلل جلل حلل خلل دلل ذلل زلل سلل شلل"
لاف,39,"جاف حاف خاف داف ذاف راف زاف شاف صاف ضاف"
مرق,39,"ارق برق حرق خرق درق ذرق زرق سرق شرق طرق"
مري,39,"بري ثري جري حري دري ذري زري سري شري صري"
نبس,39,"جبس حبس دبس عبس قبس كبس لبس يبس ناس نجس"
نبط,39,"ابط ثبط حبط خبط ربط سبط ضبط عبط غبط لبط"
نتر,39,"بتر ختر ستر فتر قتر متر هتر وتر نار نبر"
نزل,39,"ازل بزل جزل خزل عزل غزل هزل نال نبل نثل"
نقا,39,"حقا زقا فقا لقا نبا نتا نثا نجا نحا ندا"
نقق,39,"حقق دقق رقق زقق شقق طقق عقق غقق لقق نزق"
نقم,39,"رقم زقم سقم عقم فقم لقم نام نجم نحم نخم"
نقي,39,"بقي رقي سقي شقي لقي وقي ناي نحي ندي نسي"
نوح,39,"بوح جوح دوح روح زوح طوح فوح لوح ناح نبح"
همر,39,"امر تمر ثمر جمر حمر خمر دمر ذمر زمر سمر"
ورق,39,"ارق برق حرق خرق درق ذرق زرق سرق شرق طرق"
جبر,38,"ابر تبر ثبر حبر خبر دبر ذبر زبر سبر شبر"
جرع,38,"برع ترع خرع درع ذرع زرع سرع شرع صرع ضرع"
جري,38,"بري ثري حري دري ذري زري سري شري صري ضري"
جمم,38,"امم تمم ثمم حمم خمم دمم ذمم رمم زمم سمم"
جوي,38,"اوي توي ثوي حوي خوي دوي ذوي روي زوي سوي"
حاق,38,"تاق ذاق راق ساق شاق ضاق طاق عاق فاق قاق"
حدر,38,"ادر بدر جدر خدر سدر صدر غدر قدر كدر ندر"
حسر,38,"اسر بسر جسر خسر دسر عسر فسر قسر كسر يسر"
حفف,38,"افف تفف جفف خفف دفف ذفف رفف زفف سفف شفف"
حنن,38,"انن جنن خنن دنن رنن زنن سنن شنن صنن ضنن"
خال,38,"بال جال حال دال زال سال شال صال ضال طال"
خرف,38,"ترف جرف حرف ذرف زرف سرف شرف صرف طرف ظرف"
خلف,38,"الف تلف جلف حلف دلف ذلف زلف سلف صلف ظلف"
خمم,38,"امم تمم ثمم جمم حمم دمم ذمم رمم زمم سمم"
دال,38,"بال جال حال خال زال سال شال صال ضال طال"
دام,38,"تام جام حام ذام رام زام سام شام صام ضام"
دان,38,"بان جان حان خان ران زان شان صان ضان طان"
دري,38,"بري ثري جري حري ذري زري سري شري صري ضري"
دوى,38,"اوى ثوى حوى خوى ذوى روى زوى سوى شوى صوى"
ربى,38,"ابى جبى زبى سبى عبى قبى كبى لبى وبى راى"
زبر,38,"ابر تبر ثبر جبر حبر خبر دبر ذبر سبر شبر"
زوي,38,"اوي توي ثوي جوي حوي خوي دوي ذوي روي سوي"
سبل,38,"ابل جبل حبل خبل دبل ذبل ربل زبل شبل طبل"
سجر,38,"اجر تجر حجر دجر زجر شجر ضجر عجر فجر نجر"
سرع,38,"برع ترع جرع خرع درع ذرع زرع شرع صرع ضرع"
سلى,38,"الى بلى تلى جلى حلى خلى دلى صلى طلى على"
شري,38,"بري ثري جري حري دري ذري زري سري صري ضري"
شفر,38,"جفر حفر خفر زفر سفر صفر ضفر طفر ظفر عفر"
شمم,38,"امم تمم ثمم جمم حمم خمم دمم ذمم رمم زمم"
شهر,38,"اهر بهر جهر دهر زهر سهر صهر طهر ظهر عهر"
شوف,38,"اوف جوف حوف خوف دوف روف زوف سوف صوف ضوف"
شوق,38,"بوق توق جوق حوق ذوق روق زوق سوق طوق عوق"
شوم,38,"جوم حوم دوم روم زوم سوم صوم طوم عوم قوم"
صبر,38,"ابر تبر ثبر جبر حبر خبر دبر ذبر زبر سبر"
صرر,38,"ارر برر جرر حرر خرر درر ذرر زرر سرر شرر"
طار,38,"بار تار ثار جار حار خار دار زار سار شار"
على,38,"الى بلى تلى جلى حلى خلى دلى سلى صلى طلى"
علي,38,"الي بلي تلي جلي حلي خلي دلي صلي طلي غلي"
عير,38,"جير حير خير زير سير صير ضير طير غير نير"
فال,38,"بال جال حال خال دال زال سال شال صال ضال"
فرد,38,"برد ثرد جرد حرد خرد زرد سرد شرد صرد طرد"
فرس,38,"ارس جرس حرس خرس درس سرس شرس ضرس طرس عرس"
فلل,38,"بلل تلل جلل حلل خلل دلل ذلل زلل سلل شلل"
قاد,38,"باد جاد حاد داد ذاد راد زاد ساد شاد صاد"
قمر,38,"امر تمر ثمر جمر حمر خمر دمر ذمر زمر سمر"
قوم,38,"جوم حوم دوم روم زوم سوم شوم صوم طوم عوم"
قوى,38,"اوى ثوى حوى خوى دوى ذوى روى زوى سوى شوى"
كبر,38,"ابر تبر ثبر جبر حبر خبر دبر ذبر زبر سبر"
لاد,38,"باد جاد حاد داد ذاد راد زاد ساد شاد صاد"
مور,38,"بور ثور جور حور خور دور زور سور شور صور"
ندل,38,"بدل جدل خدل سدل عدل هدل نال نبل نثل نجل"
ندي,38,"ادي بدي حدي ردي سدي صدي عدي غدي فدي قدي"
نصل,38,"اصل حصل خصل فصل قصل مصل وصل نال نبل نثل"
نضر,38,"حضر خضر غضر مضر نار نبر نتر نثر نجر نحر"
نضل,38,"اضل عضل فضل مضل هضل نال نبل نثل نجل نحل"
نغر,38,"ثغر دغر شغر صغر فغر وغر نار نبر نتر نثر"
نفى,38,"خفى دفى زفى شفى صفى طفى عفى قفى كفى وفى"
نفي,38,"حفي خفي زفي شفي ضفي عفي غفي كفي لفي وفي"
نقو,38,"حقو زقو شقو فقو لقو نبو نتو نثو نجو نحو"
نقى,38,"بقى رقى سقى لقى وقى ناى نجى نحى ندى نسى"
نهب,38,"اهب ذهب رهب سهب شهب صهب لهب وهب ناب نبب"
نهم,38,"اهم بهم جهم دهم رهم سهم شهم فهم لهم مهم"
نهو,38,"بهو دهو ذهو رهو زهو سهو شهو طهو فهو لهو"
هاد,38,"باد جاد حاد داد ذاد راد زاد ساد شاد صاد"
هرب,38,"ارب ترب ثرب جرب حرب خرب درب ذرب زرب سرب"
هوى,38,"اوى ثوى حوى خوى دوى ذوى روى زوى سوى شوى"
ولي,38,"الي بلي تلي جلي حلي خلي دلي صلي طلي علي"
ابب,37,"تبب جبب حبب خبب دبب ذبب ربب زبب سبب شبب"
الى,37,"بلى تلى جلى حلى خلى دلى سلى صلى طلى على"
برع,37,"ترع جرع خرع درع ذرع زرع سرع شرع صرع ضرع"
برى,37,"ارى جرى حرى درى ذرى زرى سرى شرى عرى غرى"
جاب,37,"تاب ثاب حاب خاب داب ذاب راب شاب صاب طاب"
جبب,37,"ابب تبب حبب خبب دبب ذبب ربب زبب سبب شبب"
جرس,37,"ارس حرس خرس درس سرس شرس ضرس طرس عرس غرس"
جرم,37,"برم حرم خرم درم شرم صرم ضرم عرم غرم فرم"
حير,37,"جير خير زير سير صير ضير طير عير غير نير"
درق,37,"ارق برق حرق خرق ذرق زرق سرق شرق طرق عرق"
